epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,533.733,1.84004,1.20391,1.9893,0.92079,0.72661,0.81688,0.47217,3.01473,1.74694,2.72337,0.0002774,0.0002774,0.0002774
89,539.196,1.72061,1.12195,1.9493,0.8773,0.71875,0.80946,0.45466,3.04886,1.7387,2.71526,0.0002576,0.0002576,0.0002576
90,545.434,1.8017,1.14006,1.97173,0.80472,0.79688,0.8278,0.46377,3.09648,1.66721,2.73455,0.0002378,0.0002378,0.0002378
91,552.651,1.83828,1.2717,1.98917,0.83663,0.80019,0.8592,0.44466,3.16433,1.71226,2.74739,0.000218,0.000218,0.000218
92,558.669,1.7606,1.09892,1.9468,0.75709,0.79688,0.8249,0.41295,3.17231,1.85123,2.75137,0.0001982,0.0001982,0.0001982
93,563.635,1.7803,1.14467,1.96197,0.82781,0.75119,0.83343,0.41325,3.19925,1.86591,2.77392,0.0001784,0.0001784,0.0001784
94,569.897,1.70883,1.10535,1.98737,0.83664,0.76562,0.8528,0.41429,3.20033,1.81333,2.78722,0.0001586,0.0001586,0.0001586
95,575.068,1.85356,1.13876,1.98685,0.77295,0.8125,0.80959,0.39964,3.15418,1.88572,2.79874,0.0001388,0.0001388,0.0001388
96,580.77,1.6731,1.04613,1.91617,0.78059,0.77827,0.82143,0.41028,3.17828,1.84451,2.79897,0.000119,0.000119,0.000119
97,586.288,1.62078,1.05427,1.94195,0.81711,0.76562,0.83842,0.42195,3.16371,1.82032,2.79749,9.92e-05,9.92e-05,9.92e-05
98,591.211,1.6307,1.08086,1.90754,0.80533,0.79688,0.8445,0.42568,3.12957,1.84147,2.80742,7.94e-05,7.94e-05,7.94e-05
99,597.474,1.64007,1.05026,1.93943,0.79627,0.79688,0.83769,0.41486,3.14611,1.85701,2.81509,5.96e-05,5.96e-05,5.96e-05
100,602.469,1.65558,1.03681,1.8953,0.78107,0.76562,0.82744,0.4171,3.15011,1.87057,2.80862,3.98e-05,3.98e-05,3.98e-05
